energy,intensity
10,3.09868e-05
10.9,0.0001415
11.8,0.00167721
12.7,0.0229176
13.6,0.333706
14.5,3.43695
15.4,21.1162
16.3,87.9918
17.2,273.415
18.1,675.908
19,1395.97
19.9,2465.65
20.8,3955.71
21.7,5917.24
22.6,8354.64
23.5,11229.5
24.4,14471.7
25.3,17989.1
26.2,21678.1
27.1,25433.8
28,29157.5
28.9,32690.1
29.8,36039
30.7,39131.7
31.6,41918.6
32.5,44382.2
33.4,46524.4
34.3,48356.6
35.2,49896.5
36.1,51166.1
37,52189.9
37.9,52966.7
38.8,53557.4
39.7,53985.4
40.6,54247.9
41.5,54336.5
42.4,54259.1
43.3,54035.1
44.2,53682.7
45.1,53218.9
46,52659.1
46.9,52007.6
47.8,51290.1
48.7,50517.6
49.6,49700.2
50.5,48842.2
51.4,47945
52.3,47010.9
53.2,46044.8
54.1,45051.1
55,44034.2
55.9,42993.4
56.8,41937.4
57.7,40869.2
58.6,39791.8
59.5,112692
60.4,37621.3
61.3,36537.9
62.2,35461.2
63.1,34392
64,33331.1
64.9,32277.8
65.8,31234.2
66.7,30200.7
67.6,29177.6
68.5,56637.2
69.4,24433.7
70.3,20140.6
71.2,19549.8
72.1,18950.1
73,18342.7
73.9,17727.7
74.8,17107.2
75.7,16482.3
76.6,15853.9
77.5,15222.7
78.4,14589.4
79.3,13954.9
80.2,13319.7
81.1,12684.3
82,12049.3
82.9,11414.8
83.8,10781.7
84.7,10150.6
85.6,9521.85
86.5,8895.78
87.4,8272.75
88.3,7653.07
89.2,7037.02
90.1,6424.87
91,5816.84
91.9,5213.01
92.8,4613.75
93.7,4019.21
94.6,3429.54
95.5,2844.87
96.4,2265.31
97.3,1690.97
98.2,1121.92
99.1,558.243
100, 0
