energy,intensity
10,3.95253e-05
10.3,9.0096e-05
10.6,0.000205523
10.9,0.000469155
11.2,0.00114158
11.5,0.00286871
11.8,0.00721298
12.1,0.0175888
12.4,0.0403181
12.7,0.0924629
13,0.212141
13.3,0.45981
13.6,0.997007
13.9,2.16259
14.2,4.10942
14.5,7.30996
14.8,13.007
15.1,22.0653
15.4,34.0145
15.7,52.4469
16,80.8848
16.3,112.485
16.6,156.458
16.9,217.656
17.2,287.452
17.5,369.908
17.8,476.072
18.1,600.69
18.4,728.405
18.7,883.339
19,1071.29
19.3,1240.67
19.6,1436.87
19.9,1664.14
20.2,1887.29
20.5,2117.99
20.8,2376.83
21.1,2648.35
21.4,2909.18
21.7,3195.49
22,3509.7
22.3,3786.52
22.6,4084.74
22.9,4405.91
23.2,4704.63
23.5,4997.9
23.8,5308.57
24.1,5613.92
24.4,5886.03
24.7,6169.98
25,6466.1
25.3,6702.92
25.6,6946.48
25.9,7196.76
26.2,7408.85
26.5,7601.62
26.8,7796.56
27.1,7972.83
27.4,8107.87
27.7,8241.51
28,8373.36
28.3,8447.03
28.6,8516.71
28.9,8581.96
29.2,8609.75
29.5,8615.59
29.8,8615.28
30.1,8593.85
30.4,8536.5
30.7,8472.09
31,8400.21
31.3,8283.51
31.6,8159.47
31.9,8027.75
32.2,7868.58
32.5,7692.32
32.8,7508.62
33.1,7309.67
33.4,7088.51
33.7,6860.38
34,6625.07
34.3,6365.89
34.6,6100.36
34.9,5828.31
35.2,5541.55
35.5,5244.93
35.8,4942.48
36.1,4631.25
36.4,4309.06
36.7,3981.71
37,3649.07
37.3,3306.03
37.6,2958.46
37.9,2606.23
38.2,2247.35
38.5,1883.4
38.8,1515.35
39.1,1142.7
39.4,765.471
39.7,384.602
40, 0
