energy,intensity
10,2.2073e-05
11.4,0.000185533
12.8,0.0105885
14.2,0.817089
15.6,17.833
17,160.416
18.4,709.296
19.8,2120.7
21.2,4755.41
22.6,8896.24
24,14717.9
25.4,21668.3
26.8,29637.7
28.2,37966.8
29.6,46162.1
31,54013.6
32.4,60791
33.8,66773.2
35.2,71789.5
36.6,75903.5
38,79323.3
39.4,81974.7
40.8,84093.1
42.2,85544.9
43.6,86394.2
45,86794.3
46.4,86730
47.8,86372
49.2,85748.2
50.6,84910.8
52,83895.8
53.4,82673.2
54.8,81317
56.2,79829.5
57.6,78232.7
59,252370
60.4,74806.2
61.8,73031.1
63.2,71245.3
64.6,69455.3
66,67672.5
67.4,65890.5
68.8,132005
70.2,45195.2
71.6,44630.9
73,44011.5
74.4,43330.7
75.8,42608.1
77.2,41843.4
78.6,41042.3
80,40214.3
81.4,39354.9
82.8,38476
84.2,37577.6
85.6,36663.2
87,35738.9
88.4,34802.1
89.8,33860.5
91.2,32914
92.6,31964.6
94,31016
95.4,30066.5
96.8,29120.6
98.2,28178.3
99.6,27240.7
101,26310.1
102.4,25386.4
103.8,24472
105.2,23566.5
106.6,22670.3
108,21784.3
109.4,20907.8
110.8,20041.8
112.2,19186.2
113.6,18341.1
115,17506.9
116.4,16683
117.8,15870.2
119.2,15068
120.6,14276.6
122,13496.1
123.4,12726.1
124.8,11966.8
126.2,11218.1
127.6,10479.8
129,9703.52
130.4,8968.44
131.8,8247.7
133.2,7521.84
134.6,6830.2
136,6136.05
137.4,5471.7
138.8,4819.54
140.2,4168.67
141.6,3541.39
143,2917.84
144.4,2313.98
145.8,1720.56
147.2,1134.41
148.6,562.428
150, 0
